Participant011-6,Participant020-5,Participant022-6,Participant037-5,Participant044-6,Participant045-6,Participant048-6,Participant049-6,Participant051-6,Participant055-6,Participant058-5,Participant063-6,Participant075-6,Participant079-5,Participant080-6,Participant081-5,Participant088-6,Participant089-6,Participant093-6,Participant096-6,Participant098-5,Participant099-6,Participant101-6,Participant103-5,Participant106-5,Participant113-5,Participant117-5,Participant125-6,Participant127-5,Participant132-5,Participant135-6,Participant141-5,Participant143-5,Participant144-6,Participant145-6,Participant149-5,Participant151-5,Participant153-5,Participant164-5,Participant165-5,Participant169-6,Participant171-6,Participant172-6,Participant176-5,Participant177-5,Participant178-6,Participant180-6,Participant187-6,Participant190-5,Participant194-6

totalSR: 111,totalSR: 143,totalSR: 97,totalSR: 57,totalSR: 82,totalSR: 92,totalSR: 113,totalSR: 41,totalSR: 69,totalSR: 130,totalSR: 144,totalSR: 154,totalSR: 70,totalSR: 133,totalSR: 87,totalSR: 24,totalSR: 155,totalSR: 117,totalSR: 146,totalSR: 59,totalSR: 129,totalSR: 118,totalSR: 148,totalSR: 84,totalSR: 45,totalSR: 105,totalSR: 83,totalSR: 105,totalSR: 80,totalSR: 159,totalSR: 137,totalSR: 100,totalSR: 142,totalSR: 46,totalSR: 99,totalSR: 144,totalSR: 149,totalSR: 53,totalSR: 126,totalSR: 142,totalSR: 151,totalSR: 117,totalSR: 99,totalSR: 69,totalSR: 75,totalSR: 92,totalSR: 115,totalSR: 96,totalSR: 72,totalSR: 102
srPhase1: 24,srPhase1: 26,srPhase1: 22,srPhase1: 10,srPhase1: 10,srPhase1: 22,srPhase1: 22,srPhase1: 7,srPhase1: 17,srPhase1: 29,srPhase1: 25,srPhase1: 22,srPhase1: 21,srPhase1: 18,srPhase1: 19,srPhase1: 23,srPhase1: 25,srPhase1: 24,srPhase1: 25,srPhase1: 25,srPhase1: 25,srPhase1: 21,srPhase1: 29,srPhase1: 24,srPhase1: 19,srPhase1: 23,srPhase1: 11,srPhase1: 28,srPhase1: 15,srPhase1: 26,srPhase1: 27,srPhase1: 18,srPhase1: 27,srPhase1: 22,srPhase1: 18,srPhase1: 27,srPhase1: 25,srPhase1: 25,srPhase1: 21,srPhase1: 22,srPhase1: 26,srPhase1: 18,srPhase1: 24,srPhase1: 23,srPhase1: 21,srPhase1: 17,srPhase1: 25,srPhase1: 25,srPhase1: 12,srPhase1: 20
srPhase2: 85,srPhase2: 115,srPhase2: 73,srPhase2: 45,srPhase2: 70,srPhase2: 68,srPhase2: 89,srPhase2: 32,srPhase2: 50,srPhase2: 99,srPhase2: 117,srPhase2: 130,srPhase2: 47,srPhase2: 113,srPhase2: 66,srPhase2: 0,srPhase2: 128,srPhase2: 91,srPhase2: 119,srPhase2: 32,srPhase2: 102,srPhase2: 95,srPhase2: 117,srPhase2: 58,srPhase2: 24,srPhase2: 80,srPhase2: 70,srPhase2: 75,srPhase2: 63,srPhase2: 131,srPhase2: 108,srPhase2: 80,srPhase2: 113,srPhase2: 22,srPhase2: 79,srPhase2: 115,srPhase2: 122,srPhase2: 26,srPhase2: 103,srPhase2: 118,srPhase2: 123,srPhase2: 97,srPhase2: 73,srPhase2: 44,srPhase2: 52,srPhase2: 73,srPhase2: 88,srPhase2: 69,srPhase2: 58,srPhase2: 80
srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0

Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?
True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False

Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
