Participant002-7,Participant008-8,Participant021-7,Participant023-7,Participant025-8,Participant027-8,Participant029-8,Participant033-8,Participant036-7,Participant040-8,Participant041-7,Participant043-7,Participant050-8,Participant053-8,Participant057-7,Participant060-7,Participant064-7,Participant067-8,Participant073-8,Participant076-8,Participant078-8,Participant083-8,Participant084-7,Participant092-8,Participant107-7,Participant108-7,Participant120-8,Participant129-7,Participant130-8,Participant148-7,Participant157-8,Participant159-8,Participant161-8,Participant166-7,Participant167-7,Participant168-7,Participant175-7,Participant179-8,Participant185-7,Participant189-7,Participant191-7,Participant197-8,Participant198-8,Participant208-8,Participant217-8,Participant218-8,Participant220-8,Participant223-7,Participant232-7,Participant233-7,Participant234-7

totalSR: 40,totalSR: 19,totalSR: 49,totalSR: 39,totalSR: 38,totalSR: 32,totalSR: 26,totalSR: 47,totalSR: 44,totalSR: 26,totalSR: 26,totalSR: 50,totalSR: 52,totalSR: 46,totalSR: 19,totalSR: 13,totalSR: 47,totalSR: 38,totalSR: 29,totalSR: 51,totalSR: 49,totalSR: 41,totalSR: 35,totalSR: 16,totalSR: 47,totalSR: 53,totalSR: 51,totalSR: 42,totalSR: 54,totalSR: 52,totalSR: 48,totalSR: 18,totalSR: 50,totalSR: 36,totalSR: 46,totalSR: 43,totalSR: 33,totalSR: 55,totalSR: 44,totalSR: 32,totalSR: 37,totalSR: 42,totalSR: 46,totalSR: 36,totalSR: 31,totalSR: 52,totalSR: 34,totalSR: 49,totalSR: 53,totalSR: 42,totalSR: 52
srPhase1: 21,srPhase1: 13,srPhase1: 26,srPhase1: 17,srPhase1: 26,srPhase1: 18,srPhase1: 13,srPhase1: 23,srPhase1: 26,srPhase1: 16,srPhase1: 14,srPhase1: 25,srPhase1: 26,srPhase1: 22,srPhase1: 18,srPhase1: 12,srPhase1: 25,srPhase1: 23,srPhase1: 10,srPhase1: 25,srPhase1: 25,srPhase1: 27,srPhase1: 16,srPhase1: 15,srPhase1: 22,srPhase1: 26,srPhase1: 25,srPhase1: 21,srPhase1: 25,srPhase1: 26,srPhase1: 26,srPhase1: 7,srPhase1: 29,srPhase1: 18,srPhase1: 20,srPhase1: 22,srPhase1: 20,srPhase1: 26,srPhase1: 22,srPhase1: 13,srPhase1: 24,srPhase1: 20,srPhase1: 25,srPhase1: 27,srPhase1: 19,srPhase1: 27,srPhase1: 18,srPhase1: 24,srPhase1: 28,srPhase1: 20,srPhase1: 25
srPhase2: 17,srPhase2: 4,srPhase2: 21,srPhase2: 20,srPhase2: 10,srPhase2: 12,srPhase2: 11,srPhase2: 22,srPhase2: 16,srPhase2: 8,srPhase2: 10,srPhase2: 23,srPhase2: 24,srPhase2: 22,srPhase2: 0,srPhase2: 0,srPhase2: 20,srPhase2: 13,srPhase2: 17,srPhase2: 24,srPhase2: 22,srPhase2: 12,srPhase2: 17,srPhase2: 0,srPhase2: 23,srPhase2: 25,srPhase2: 24,srPhase2: 19,srPhase2: 27,srPhase2: 24,srPhase2: 20,srPhase2: 9,srPhase2: 19,srPhase2: 16,srPhase2: 24,srPhase2: 19,srPhase2: 11,srPhase2: 27,srPhase2: 20,srPhase2: 17,srPhase2: 11,srPhase2: 20,srPhase2: 19,srPhase2: 7,srPhase2: 10,srPhase2: 23,srPhase2: 14,srPhase2: 23,srPhase2: 23,srPhase2: 20,srPhase2: 25
srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0

Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?
False,True,True,True,True,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True

Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
1.0,1.0,36.0,26.0,131.0,20.0,11.0,17.0,80.0,13.0,26.0,75.0,30.0,30.0,98.0,6.0,54.0,143.0,9.0,19.0,79.0,81.0,10.0,14.0,58.0,50.0,68.0,18.0,1.0,171.0,108.0,16.0,114.0,10.0,26.0,116.0,109.0,119.0,138.0,10.0,10.0,26.0,28.0,49.0,10.0,16.0,12.0,83.0,135.0,27.0,45.0
0.0,8.0,77.0,33.0,200.0,21.0,8.0,36.0,176.0,7.0,19.0,144.0,68.0,27.0,171.0,4.0,67.0,220.0,18.0,27.0,104.0,58.0,17.0,22.0,116.0,106.0,77.0,46.0,21.0,129.0,113.0,7.0,185.0,13.0,68.0,7.0,115.0,94.0,94.0,7.0,16.0,33.0,59.0,129.0,10.0,22.0,11.0,30.0,185.0,12.0,101.0
0.0,21.0,58.0,34.0,216.0,18.0,12.0,78.0,92.0,11.0,9.0,112.0,132.0,31.0,95.0,10.0,94.0,83.0,8.0,72.0,132.0,75.0,10.0,6.0,179.0,162.0,192.0,101.0,26.0,149.0,46.0,4.0,225.0,23.0,75.0,182.0,136.0,125.0,139.0,11.0,36.0,72.0,24.0,222.0,12.0,57.0,12.0,31.0,172.0,20.0,156.0
0.0,0.0,56.0,16.0,40.0,25.0,10.0,26.0,169.0,4.0,7.0,140.0,157.0,41.0,56.0,13.0,55.0,57.0,6.0,51.0,122.0,84.0,23.0,2.0,82.0,168.0,148.0,63.0,46.0,103.0,35.0,1.0,71.0,40.0,90.0,109.0,33.0,86.0,64.0,11.0,23.0,49.0,31.0,122.0,22.0,51.0,6.0,28.0,76.0,19.0,144.0
0.0,9.0,38.0,37.0,0.0,76.0,1.0,40.0,0.0,8.0,27.0,49.0,83.0,17.0,1.0,17.0,160.0,0.0,5.0,47.0,98.0,89.0,21.0,4.0,5.0,44.0,4.0,73.0,52.0,0.0,44.0,1.0,0.0,37.0,100.0,0.0,7.0,63.0,0.0,13.0,20.0,38.0,31.0,0.0,13.0,23.0,9.0,28.0,0.0,16.0,2.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,45.0,34.0,0.0,7.0,12.0,41.0,0.0,8.0,20.0,0.0,40.0,0.0,6.0,9.0,156.0,0.0,9.0,13.0,54.0,80.0,17.0,7.0,0.0,0.0,0.0,30.0,0.0,0.0,50.0,1.0,0.0,39.0,41.0,0.0,7.0,0.0,0.0,6.0,40.0,46.0,27.0,0.0,13.0,26.0,9.0,34.0,0.0,16.0,0.0
0.0,0.0,37.0,37.0,0.0,31.0,11.0,34.0,0.0,14.0,30.0,0.0,0.0,0.0,2.0,9.0,19.0,0.0,9.0,23.0,0.0,94.0,15.0,4.0,0.0,0.0,0.0,0.0,24.0,0.0,20.0,7.0,0.0,26.0,0.0,0.0,5.0,0.0,0.0,13.0,15.0,8.0,9.0,0.0,6.0,33.0,10.0,7.0,0.0,16.0,0.0
